obsid|cl1|cl2|T
2016198|0.0|4.0|
2112045|1.0|4.0|
2201021|1.0|4.0|
2201193|1.0|4.0|
2212161|1.0|4.0|
2213015|1.0|4.0|
2213094|1.0|4.0|
2214104|1.0|4.0|
2214109|1.0|4.0|
2216031|1.0|4.0|
2216058|1.0|4.0|
2314219|1.0|4.0|
2401036|0.0|4.0|
2401075|1.0|4.0|
2401122|1.0|4.0|
2403011|0.0|4.0|
2403029|1.0|4.0|
2403063|0.0|4.0|
2403139|1.0|4.0|
2403180|1.0|4.0|
2415028|0.0|4.0|
2415091|0.0|4.0|
2415093|0.0|4.0|
2415095|0.0|4.0|
2415134|0.0|4.0|
2415177|1.0|4.0|
2416058|1.0|4.0|
2416059|0.0|4.0|
2416120|0.0|4.0|
2416182|0.0|4.0|
2416185|0.0|4.0|
2416235|0.0|4.0|
2503181|1.0|4.0|
2514209|0.0|4.0|
2514237|1.0|4.0|
2514248|1.0|4.0|
2515020|0.0|4.0|
2515065|1.0|4.0|
2515171|1.0|4.0|
2516016|1.0|4.0|
2516035|1.0|4.0|
2601027|1.0|4.0|
2601144|1.0|4.0|
2601200|1.0|4.0|
2601242|1.0|4.0|
2603011|2.0|4.0|
2603142|1.0|4.0|
2603144|1.0|4.0|
2616075|0.0|4.0|
2616170|1.0|4.0|
2616186|1.0|4.0|
2715158|1.0|4.0|
2716113|2.0|4.0|
2716156|2.0|4.0|
2804162|1.0|4.0|
2805051|1.0|4.0|
2806062|0.0|4.0|
2808004|1.0|4.0|
2808072|2.0|4.0|
2808076|1.0|4.0|
2808118|2.0|4.0|
2808156|1.0|4.0|
2808163|1.0|4.0|
2808241|2.0|4.0|
2809080|1.0|4.0|
2811010|1.0|4.0|
2811193|1.0|4.0|
2811238|1.0|4.0|
2812068|1.0|4.0|
2812219|1.0|4.0|
2814057|1.0|4.0|
2815083|2.0|4.0|
2901195|1.0|4.0|
2903127|2.0|4.0|
2903177|1.0|4.0|
2903191|2.0|4.0|
2903213|1.0|4.0|
2904085|1.0|4.0|
2905202|2.0|4.0|
2906216|1.0|4.0|
2907198|1.0|4.0|
2911178|1.0|4.0|
2911186|1.0|4.0|
2914222|1.0|4.0|
3001035|0.0|4.0|
3001057|0.0|4.0|
3001060|1.0|4.0|
3001088|1.0|4.0|
3002185|1.0|4.0|
3003071|1.0|4.0|
3003105|1.0|4.0|
3003117|1.0|4.0|
3004173|1.0|4.0|
3004188|0.0|4.0|
3004208|1.0|4.0|
3004234|1.0|4.0|
3006157|0.0|4.0|
3008020|1.0|4.0|
3008045|1.0|4.0|
3009067|1.0|4.0|
3009138|0.0|4.0|
3009176|0.0|4.0|
3009199|1.0|4.0|
3010011|0.0|4.0|
3010075|1.0|4.0|
3010196|1.0|4.0|
3012183|0.0|4.0|
3013044|1.0|4.0|
3015150|1.0|4.0|
3101198|1.0|4.0|
3102021|0.0|4.0|
3102195|2.0|4.0|
3103063|0.0|4.0|
3103073|1.0|4.0|
3103172|1.0|4.0|
3103192|1.0|4.0|
3103244|1.0|4.0|
3104002|0.0|4.0|
3104003|2.0|4.0|
3104044|1.0|4.0|
3104055|0.0|4.0|
3104085|1.0|4.0|
3105156|0.0|4.0|
3105214|0.0|4.0|
3106219|1.0|4.0|
3106228|0.0|4.0|
3107072|2.0|4.0|
3107104|1.0|4.0|
3107179|0.0|4.0|
3108048|1.0|4.0|
3108082|2.0|4.0|
3109010|1.0|4.0|
3109013|1.0|4.0|
3109022|1.0|4.0|
3109118|1.0|4.0|
3109216|1.0|4.0|
3109224|2.0|4.0|
3110166|0.0|4.0|
3110246|0.0|4.0|
3111070|0.0|4.0|
3111082|1.0|4.0|
3111121|1.0|4.0|
3113065|0.0|4.0|
3113206|0.0|4.0|
3113213|1.0|4.0|
3115031|0.0|4.0|
3115113|1.0|4.0|
3115239|0.0|4.0|
3116125|0.0|4.0|
3202019|0.0|4.0|
3202027|2.0|4.0|
3202180|1.0|4.0|
3203087|1.0|4.0|
3203148|0.0|4.0|
3203228|1.0|4.0|
3204028|0.0|4.0|
3204060|1.0|4.0|
3204156|1.0|4.0|
3205232|1.0|4.0|
3206008|2.0|4.0|
3206060|1.0|4.0|
3206216|1.0|4.0|
3207108|1.0|4.0|
3207177|1.0|4.0|
3208011|0.0|4.0|
3208016|0.0|4.0|
3208065|1.0|4.0|
3208133|0.0|4.0|
3208139|1.0|4.0|
3209027|0.0|4.0|
3209136|0.0|4.0|
3209154|0.0|4.0|
3209181|1.0|4.0|
3209243|1.0|4.0|
3210020|1.0|4.0|
3211137|1.0|4.0|
3211170|1.0|4.0|
3211174|1.0|4.0|
3211184|1.0|4.0|
3213075|0.0|4.0|
3213113|0.0|4.0|
3213224|1.0|4.0|
3214147|0.0|4.0|
3214172|1.0|4.0|
3215063|1.0|4.0|
3215114|0.0|4.0|
3215177|0.0|4.0|
3215236|1.0|4.0|
3216133|0.0|4.0|
3216147|1.0|4.0|
3216180|1.0|4.0|
3216182|0.0|4.0|
3216191|0.0|4.0|
3216203|0.0|4.0|
3301023|1.0|4.0|
3301039|1.0|4.0|
3303056|0.0|4.0|
3304056|0.0|4.0|
3305112|1.0|4.0|
3305114|1.0|4.0|
3305147|1.0|4.0|
3305173|1.0|4.0|
3305215|0.0|4.0|
3305218|1.0|4.0|
3306091|1.0|4.0|
3306113|1.0|4.0|
3306143|0.0|4.0|
3306182|1.0|4.0|
3306194|0.0|4.0|
3306214|1.0|4.0|
3306240|1.0|4.0|
3307026|0.0|4.0|
3307082|1.0|4.0|
3307161|2.0|4.0|
3308111|1.0|4.0|
3308153|1.0|4.0|
3308240|0.0|4.0|
3309013|1.0|4.0|
3309024|0.0|4.0|
3309087|0.0|4.0|
3309144|0.0|4.0|
3309158|1.0|4.0|
3309171|1.0|4.0|
3309226|0.0|4.0|
3310227|1.0|4.0|
3310250|0.0|4.0|
3311063|1.0|4.0|
3311095|1.0|4.0|
3311185|0.0|4.0|
3311242|0.0|4.0|
3312047|0.0|4.0|
3312178|0.0|4.0|
3313035|0.0|4.0|
3313067|0.0|4.0|
3313101|2.0|4.0|
3315056|1.0|4.0|
3315134|1.0|4.0|
3315157|1.0|4.0|
3316096|1.0|4.0|
3402079|2.0|4.0|
3404102|1.0|4.0|
3405017|1.0|4.0|
3405083|1.0|4.0|
3405111|2.0|4.0|
3406019|2.0|4.0|
3407053|2.0|4.0|
3408187|1.0|4.0|
3409126|1.0|4.0|
3410213|1.0|4.0|
3411213|2.0|4.0|
3412221|1.0|4.0|
3412245|1.0|4.0|
3413156|2.0|4.0|
3413161|1.0|4.0|
3414212|1.0|4.0|
3504250|0.0|4.0|
3516066|1.0|4.0|
3603009|1.0|4.0|
3604107|1.0|4.0|
3605121|1.0|4.0|
3609048|1.0|4.0|
3701046|1.0|4.0|
3701073|2.0|4.0|
3701110|2.0|4.0|
3701134|1.0|4.0|
3702022|2.0|4.0|
3702104|1.0|4.0|
3702241|1.0|4.0|
3703131|2.0|4.0|
3703141|1.0|4.0|
3703182|2.0|4.0|
3703247|2.0|4.0|
3704023|2.0|4.0|
3706109|1.0|4.0|
3707030|2.0|4.0|
3707064|2.0|4.0|
3707112|1.0|4.0|
3707199|2.0|4.0|
3707206|1.0|4.0|
3708055|2.0|4.0|
3708056|2.0|4.0|
3708064|1.0|4.0|
3710250|1.0|4.0|
3711011|2.0|4.0|
3711136|2.0|4.0|
3712017|2.0|4.0|
3712035|1.0|4.0|
3712057|1.0|4.0|
3713139|1.0|4.0|
3713246|1.0|4.0|
3714018|1.0|4.0|
3715061|1.0|4.0|
3716092|1.0|4.0|
3902093|1.0|4.0|
3903174|1.0|4.0|
3904070|1.0|4.0|
3904234|1.0|4.0|
3906010|1.0|4.0|
3907077|1.0|4.0|
3908034|1.0|4.0|
3909118|2.0|4.0|
3909193|2.0|4.0|
3910058|2.0|4.0|
3910060|2.0|4.0|
3910064|1.0|4.0|
3910205|1.0|4.0|
3913203|2.0|4.0|
3915192|1.0|4.0|
3916136|2.0|4.0|
4001054|1.0|4.0|
4001136|1.0|4.0|
4002030|1.0|4.0|
4002096|2.0|4.0|
4003156|1.0|4.0|
4004145|1.0|4.0|
4004214|2.0|4.0|
4004248|1.0|4.0|
4006104|2.0|4.0|
4006189|1.0|4.0|
4006199|1.0|4.0|
4006236|2.0|4.0|
4007150|1.0|4.0|
4007225|1.0|4.0|
4008011|1.0|4.0|
4008053|1.0|4.0|
4009061|1.0|4.0|
4009143|1.0|4.0|
4010172|1.0|4.0|
4011125|1.0|4.0|
4011165|2.0|4.0|
4014021|1.0|4.0|
4014097|2.0|4.0|
4015156|1.0|4.0|
4015236|1.0|4.0|
4016086|2.0|4.0|
